duplicate_type,duplicate_key,duplicate_count,sample_row_number,sample_ref_number,sample_recipient_legal_name,sample_recipient_city,sample_recipient_postal_code,sample_agreement_start_date,sample_agreement_value
org_city_postal,org=PROVINCE OF ONTARIO|city=Toronto | Toronto|postal=M7A 2A5,67,144735,016-2019-2020-Q4-1326888,PROVINCE OF ONTARIO,Toronto | Toronto,M7A 2A5,2019-04-01,81225
org_city_postal,org=WINNIPEG FOUNDATION (THE)|city=Winnipeg | Winnipeg|postal=R3B 0X3,64,168801,016-2018-2019-Q4-1323152,WINNIPEG FOUNDATION (THE),Winnipeg | Winnipeg,R3B 0X3,2018-12-03,308
org_city_postal,org=Newfoundland and Labrador Association of Technology Industries Incorporated|Newfoundland and Labrador Association of Technology Industries Incorporated|city=St. John's|St. John's|postal=A1E 1W6,63,18318,276-2019-2020-Q1-00066,Newfoundland and Labrador Association of Technology Industries Incorporated|Newfoundland and Labrador Association of Technology Industries Incorporated,St. John's|St. John's,A1E 1W6,2019-04-20,85355
org_city_postal,org=Mount Saint Vincent University - Centre for Women in Business|Mount Saint Vincent University - Centre for Women in Business|city=Halifax|Halifax|postal=B3M 2J6,63,18542,276-2019-2020-Q2-00023,Mount Saint Vincent University - Centre for Women in Business|Mount Saint Vincent University - Centre for Women in Business,Halifax|Halifax,B3M 2J6,2019-07-04,2085600
org_city_postal,org=ALPINE CANADA ALPIN|city=Calgary | Calgary|postal=T3B 6B7,63,121195,016-2018-2019-Q2-1318204,ALPINE CANADA ALPIN,Calgary | Calgary,T3B 6B7,2018-04-02,125000
org_city_postal,org=VANCOUVER FOUNDATION|city=Vancouver | Vancouver|postal=V6B 4M9,63,127200,016-2019-2020-Q1-1323694,VANCOUVER FOUNDATION,Vancouver | Vancouver,V6B 4M9,2018-04-01,5000000
org_city_postal,org=MING PAO NEWSPAPERS (CANADA) LIMITED|city=Scarborough | Scarborough|postal=M1S 3J1,60,128667,016-2019-2020-Q1-1325328,MING PAO NEWSPAPERS (CANADA) LIMITED,Scarborough | Scarborough,M1S 3J1,2019-04-01,307241
org_city_postal,org=PRAIRIE NEWSPAPER GROUP LIMITED PARTNERSHIP|city=Vancouver | Vancouver|postal=V5Y 3P1,60,139617,016-2020-2021-Q2-1334375,PRAIRIE NEWSPAPER GROUP LIMITED PARTNERSHIP,Vancouver | Vancouver,V5Y 3P1,2020-04-01,16934
org_city_postal,org=CANADIAN SNOWBOARD FEDERATION|city=Vancouver | Vancouver|postal=V6A 4C1,56,119469,016-2018-2019-Q2-1315594.1,CANADIAN SNOWBOARD FEDERATION,Vancouver | Vancouver,V6A 4C1,2018-04-01,1214765
org_city_postal,org=BLACK PRESS GROUP LTD.|city=Williams Lake | Williams Lake|postal=V2G 1Y8,56,134690,016-2020-2021-Q1-1331424.1,BLACK PRESS GROUP LTD.,Williams Lake | Williams Lake,V2G 1Y8,2020-04-01,8303
org_city_postal,org=Active Communities Inc.|Active Communities Inc.|city=Montague|Montague|postal=C0A 1R0,55,18274,276-2019-2020-Q1-00018,Active Communities Inc.|Active Communities Inc.,Montague|Montague,C0A 1R0,2019-04-07,10520
org_city_postal,org=LearnSphere Canada Inc.|LearnSphere Canada Inc.|city=Fredericton|Fredericton|postal=E3B 9W4,54,18236,276-2012-2013-Q4-00318,LearnSphere Canada Inc.|LearnSphere Canada Inc.,Fredericton|Fredericton,E3B 9W4,2013-01-09,640529
org_city_postal,org=Central Development Corporation|Central Development Corporation|city=Central Bedeque|Central Bedeque|postal=C0B 1G0,52,18309,276-2019-2020-Q1-00057,Central Development Corporation|Central Development Corporation,Central Bedeque|Central Bedeque,C0B 1G0,2019-04-17,36750
org_city_postal,org=SPEED SKATING CANADA|city=Ottawa | Ottawa|postal=K1H 7X7,50,118775,016-2018-2019-Q3-1315595,SPEED SKATING CANADA,Ottawa | Ottawa,K1H 7X7,2018-04-01,150000
org_city_postal,org=CBDC Madawaska Inc.|CBDC Madawaska Inc.|city=Edmundston|Edmundston|postal=E3V 1E3,49,18129,276-2008-2009-Q2-00310,CBDC Madawaska Inc.|CBDC Madawaska Inc.,Edmundston|Edmundston,E3V 1E3,2008-07-14,242000
org_city_postal,org=GOUVERNEMENT DU NOUVEAU-BRUNSWICK / GOVERNMENT OF NEW BRUNSWICK|city=Fredericton | Fredericton|postal=E3B 5H1,49,121531,016-2018-2019-Q3-1319576,GOUVERNEMENT DU NOUVEAU-BRUNSWICK / GOVERNMENT OF NEW BRUNSWICK,Fredericton | Fredericton,E3B 5H1,2018-04-01,3200000
org_city_postal,org=EDMONTON COMMUNITY FOUNDATION (THE)|city=Edmonton | Edmonton|postal=T5K 2V7,49,168809,016-2018-2019-Q4-1323160,EDMONTON COMMUNITY FOUNDATION (THE),Edmonton | Edmonton,T5K 2V7,2018-12-03,6040
org_city_postal,org=ONTARIO ARTS FOUNDATION / FONDATION DES ARTS DE L'ONTARIO|city=Toronto | Toronto|postal=M5H 2Y2,49,168885,016-2018-2019-Q4-1323236,ONTARIO ARTS FOUNDATION / FONDATION DES ARTS DE L'ONTARIO,Toronto | Toronto,M5H 2Y2,2018-12-03,6201
org_city_postal,org=The University of New Brunswick|The University of New Brunswick|city=Fredericton|Fredericton|postal=E3B 5A3,47,18148,276-2019-2020-Q1-00148,The University of New Brunswick|The University of New Brunswick,Fredericton|Fredericton,E3B 5A3,2019-05-09,184000
org_city_postal,org=Memorial University of Newfoundland|Memorial University of Newfoundland|city=St. John's|St. John's|postal=A1C 5R3,47,18289,276-2019-2020-Q1-00033,Memorial University of Newfoundland|Memorial University of Newfoundland,St. John's|St. John's,A1C 5R3,2019-04-10,5000000
org_city_postal,org=HARBOURFRONT CORPORATION (1990)|city=Toronto | Toronto|postal=M5J 2G8,47,119234,016-2018-2019-Q1-1318624,HARBOURFRONT CORPORATION (1990),Toronto | Toronto,M5J 2G8,2018-08-01,8300
org_city_postal,org=VILLAGER PUBLICATIONS|city=Melbourne | Melbourne|postal=N0L 1T0,47,139576,016-2020-2021-Q2-1334334,VILLAGER PUBLICATIONS,Melbourne | Melbourne,N0L 1T0,2020-04-01,32359
org_city_postal,org=FONDATION DU GRAND MONTRÉAL (LA) / FOUNDATION OF GREATER MONTREAL (THE)|city=Montréal | Montréal|postal=H2Z 1Y7,47,168881,016-2018-2019-Q4-1323232,FONDATION DU GRAND MONTRÉAL (LA) / FOUNDATION OF GREATER MONTREAL (THE),Montréal | Montréal,H2Z 1Y7,2018-12-03,20426
org_city_postal,org=Alliance of Manufacturers & Exporters Canada|Alliance of Manufacturers & Exporters Canada|city=St. John's|St. John's|postal=A1B 2C7,46,18326,276-2019-2020-Q1-00074,Alliance of Manufacturers & Exporters Canada|Alliance of Manufacturers & Exporters Canada,St. John's|St. John's,A1B 2C7,2019-04-23,499998
org_city_postal,org=RDÉE Î.-P.-É. inc.|RDÉE Î.-P.-É. inc.|city=Wellington|Wellington|postal=C0B 2E0,46,18459,276-2019-2020-Q1-00236,RDÉE Î.-P.-É. inc.|RDÉE Î.-P.-É. inc.,Wellington|Wellington,C0B 2E0,2019-06-13,121942.8
org_city_postal,org=EduNova Co-operative Limited|EduNova Co-operative Limited|city=Halifax|Halifax|postal=B3J 1Z4,46,18634,276-2011-2012-Q1-00013,EduNova Co-operative Limited|EduNova Co-operative Limited,Halifax|Halifax,B3J 1Z4,2011-05-31,15000
org_city_postal,org=Impres Inc.|city=Cambridge|postal=N1R8E1,45,10187,5235-2021-2022-Q4-00866,Impres Inc.,Cambridge,N1R8E1,2021-05-03,8225
org_city_postal,org=Food Island Partnership Inc.|Food Island Partnership Inc.|city=Charlottetown|Charlottetown|postal=C1A 8R8,45,18325,276-2019-2020-Q1-00073,Food Island Partnership Inc.|Food Island Partnership Inc.,Charlottetown|Charlottetown,C1A 8R8,2019-04-23,185550
org_city_postal,org=CBDC Chaleur Inc.|CBDC Chaleur Inc.|city=Bathurst|Bathurst|postal=E2A 1A9,45,18474,276-2019-2020-Q1-00260,CBDC Chaleur Inc.|CBDC Chaleur Inc.,Bathurst|Bathurst,E2A 1A9,2019-06-20,9410
org_city_postal,org=East Prince Development Inc.|East Prince Development Inc.|city=Summerside|Summerside|postal=C1N 1A2,45,18516,276-2010-2011-Q4-00288,East Prince Development Inc.|East Prince Development Inc.,Summerside|Summerside,C1N 1A2,2011-03-25,250125
org_city_postal,org=CANADA BASKETBALL|city=Toronto | Toronto|postal=M9C 1B2,45,118904,016-2018-2019-Q1-1315561.1,CANADA BASKETBALL,Toronto | Toronto,M9C 1B2,2018-04-01,2869370
org_city_postal,org=VOLLEYBALL CANADA|city=Ottawa | Ottawa|postal=K1B 3P5,45,118906,016-2018-2019-Q1-1315580.1,VOLLEYBALL CANADA,Ottawa | Ottawa,K1B 3P5,2018-04-01,1071040
org_city_postal,org=MEDIAEDGE PUBLISHING INC|city=Winnipeg | Winnipeg|postal=R2J 0J9,45,139941,016-2020-2021-Q2-1334700,MEDIAEDGE PUBLISHING INC,Winnipeg | Winnipeg,R2J 0J9,2020-04-01,7297
org_city_postal,org=Memorial University of Newfoundland|Memorial University of Newfoundland|city=St. John's|St. John's|postal=A1B 3X5,44,19018,276-2007-2008-Q3-00069,Memorial University of Newfoundland|Memorial University of Newfoundland,St. John's|St. John's,A1B 3X5,2007-11-21,300000
org_city_postal,org=CANADIAN FREESTYLE SKI ASSOCIATION|city=Vancouver | Vancouver|postal=V6Z 1C2,44,119309,016-2018-2019-Q2-1315592.1,CANADIAN FREESTYLE SKI ASSOCIATION,Vancouver | Vancouver,V6Z 1C2,2018-04-01,3584650
org_city_postal,org=Opportunities New Brunswick|Opportunities New Brunswick|city=Fredericton|Fredericton|postal=E3B 9M9,43,18662,276-2019-2020-Q2-00139,Opportunities New Brunswick|Opportunities New Brunswick,Fredericton|Fredericton,E3B 9M9,2019-08-01,71400
org_city_postal,org=Halifax Regional Municipality|Halifax Regional Municipality|city=Halifax|Halifax|postal=B3J 3A5,43,20178,276-2006-2007-Q3-00166,Halifax Regional Municipality|Halifax Regional Municipality,Halifax|Halifax,B3J 3A5,2006-10-20,45363
org_city_postal,org=CONSEIL COMMUNAUTAIRE DU GRAND-HAVRE|city=Dartmouth | Dartmouth|postal=B2X 3T4,43,119241,016-2018-2019-Q1-1318513,CONSEIL COMMUNAUTAIRE DU GRAND-HAVRE,Dartmouth | Dartmouth,B2X 3T4,2018-04-01,9600
org_city_postal,org=CEED Centre for Entrepreneurship Education & Development Incorporated|CEED Centre for Entrepreneurship Education & Development Incorporated|city=Halifax|Halifax|postal=B3L 2C2,42,18399,276-2019-2020-Q1-00165,CEED Centre for Entrepreneurship Education & Development Incorporated|CEED Centre for Entrepreneurship Education & Development Incorporated,Halifax|Halifax,B3L 2C2,2019-05-15,500000
org_city_postal,org=PRATICO-PRATIQUES INC.|city=Québec | Québec|postal=G2G 2J5,42,152964,016-2021-2022-Q3-1341838,PRATICO-PRATIQUES INC.,Québec | Québec,G2G 2J5,2022-01-12,8062
org_city_postal,org=Cape Breton University|Cape Breton University|city=Sydney|Sydney|postal=B1P 6L2,41,18441,276-2019-2020-Q1-00216,Cape Breton University|Cape Breton University,Sydney|Sydney,B1P 6L2,2019-06-07,350000
org_city_postal,org=CANADIAN CYCLING ASSOCIATION / ASSOCIATION CYCLISTE CANADIENNE|city=Ottawa | Ottawa|postal=K1H 7X3,41,118829,016-2018-2019-Q1-1315564.2,CANADIAN CYCLING ASSOCIATION / ASSOCIATION CYCLISTE CANADIENNE,Ottawa | Ottawa,K1H 7X3,2018-04-01,4110571
org_city_postal,org=LITERARY AND HISTORICAL SOCIETY OF QUEBEC|city=Québec | Québec|postal=G1R 4H3,41,120239,016-2018-2019-Q1-1319468,LITERARY AND HISTORICAL SOCIETY OF QUEBEC,Québec | Québec,G1R 4H3,2018-09-05,27000
org_city_postal,org=Battlefords Agency Tribal Chiefs Inc.|city=North Battleford|postal=S9A4B2,40,3943,235-2019-2020-Q3-00414,Battlefords Agency Tribal Chiefs Inc.,North Battleford,S9A4B2,2019-08-06,14240
org_city_postal,org=Atlantic Canada Fish Farmers Association Inc.|Atlantic Canada Fish Farmers Association Inc.|city=Letang|Letang|postal=E5C 2A8,40,18638,276-2018-2019-Q4-00342,Atlantic Canada Fish Farmers Association Inc.|Atlantic Canada Fish Farmers Association Inc.,Letang|Letang,E5C 2A8,2019-03-20,135000
org_city_postal,org=The Maritimes Energy Association|The Maritimes Energy Association|city=Dartmouth|Dartmouth|postal=B3B 1T5,40,18775,276-2019-2020-Q2-00273,The Maritimes Energy Association|The Maritimes Energy Association,Dartmouth|Dartmouth,B3B 1T5,2019-08-21,210300
org_city_postal,org=HOCKEY CANADA|city=Calgary | Calgary|postal=T3B 6B7,40,121197,016-2018-2019-Q2-1320131,HOCKEY CANADA,Calgary | Calgary,T3B 6B7,2018-05-01,50000
org_city_postal,org=Craft Alliance Atlantic Association|Craft Alliance Atlantic Association|city=Halifax|Halifax|postal=B3J 2B3,39,24539,276-2009-2010-Q4-00015,Craft Alliance Atlantic Association|Craft Alliance Atlantic Association,Halifax|Halifax,B3J 2B3,2010-01-27,26330
org_city_postal,org=ALTA NEWSPAPER GROUP LIMITED PARTNERSHIP|city=Medicine Hat | Medicine Hat|postal=T1B 3R2,39,134471,016-2020-2021-Q1-1331303.1,ALTA NEWSPAPER GROUP LIMITED PARTNERSHIP,Medicine Hat | Medicine Hat,T1B 3R2,2020-04-01,112834
org_city_postal,org=ANNEX PUBLISHING AND PRINTING INC.|city=Simcoe | Simcoe|postal=N3Y 4N5,39,139272,016-2020-2021-Q2-1334029,ANNEX PUBLISHING AND PRINTING INC.,Simcoe | Simcoe,N3Y 4N5,2020-04-01,58610
org_city_postal,org=The Greater Charlottetown Area Chamber of Commerce|The Greater Charlottetown Area Chamber of Commerce|city=Charlottetown|Charlottetown|postal=C1A 7K2,37,18202,276-2010-2011-Q4-00273,The Greater Charlottetown Area Chamber of Commerce|The Greater Charlottetown Area Chamber of Commerce,Charlottetown|Charlottetown,C1A 7K2,2011-03-03,20350
org_city_postal,org=College of the North Atlantic|College of the North Atlantic|city=Stephenville|Stephenville|postal=A2N 2Z6,37,18419,276-2019-2020-Q1-00189,College of the North Atlantic|College of the North Atlantic,Stephenville|Stephenville,A2N 2Z6,2019-05-23,385243
org_city_postal,org=New Brunswick Association of CBDCs / L'Association des CBDC du Nouveau-Brunswick|New Brunswick Association of CBDCs / L'Association des CBDC du Nouveau-Brunswick|city=Bathurst|Bathurst|postal=E2A 1A9,37,18475,276-2019-2020-Q1-00261,New Brunswick Association of CBDCs / L'Association des CBDC du Nouveau-Brunswick|New Brunswick Association of CBDCs / L'Association des CBDC du Nouveau-Brunswick,Bathurst|Bathurst,E2A 1A9,2019-06-20,500000
org_city_postal,org=ASSOCIATION NATIONALE DES ÉDITEURS DE LIVRES|city=Montréal | Montréal|postal=H1Y 1K4,37,119472,016-2018-2019-Q1-1316205,ASSOCIATION NATIONALE DES ÉDITEURS DE LIVRES,Montréal | Montréal,H1Y 1K4,2018-04-01,112500
org_city_postal,org=BLUE METROPOLIS FOUNDATION / FONDATION METROPOLIS BLEU|city=Montréal | Montréal|postal=H4C 2L7,37,120403,016-2018-2019-Q2-1319654,BLUE METROPOLIS FOUNDATION / FONDATION METROPOLIS BLEU,Montréal | Montréal,H4C 2L7,2019-04-01,268000
org_city_postal,org=CANADIAN CURLING ASSOCIATION|city=Orleans | Orleans|postal=K4A 4J4,37,121189,016-2018-2019-Q2-1320470,CANADIAN CURLING ASSOCIATION,Orleans | Orleans,K4A 4J4,2018-04-01,35000
org_city_postal,org=Charlottetown Area Development Corporation|Charlottetown Area Development Corporation|city=Charlottetown|Charlottetown|postal=C1A 7L9,36,18180,276-2007-2008-Q4-00147,Charlottetown Area Development Corporation|Charlottetown Area Development Corporation,Charlottetown|Charlottetown,C1A 7L9,2008-03-03,40000
org_city_postal,org=NEI Association Inc.|NEI Association Inc.|city=St. John's|St. John's|postal=A1B 2C7,36,18414,276-2019-2020-Q1-00182,NEI Association Inc.|NEI Association Inc.,St. John's|St. John's,A1B 2C7,2019-05-17,224000
org_city_postal,org=RAVEN MÉDIA INC.|city=Beloeil | Beloeil|postal=J3G 6G4,36,120015,016-2018-2019-Q1-1319289,RAVEN MÉDIA INC.,Beloeil | Beloeil,J3G 6G4,2018-04-01,38638
org_city_postal,org=CENTRE CULTUREL ABERDEEN INC.|city=Moncton | Moncton|postal=E1C 4X5,36,121889,016-2018-2019-Q3-1320908,CENTRE CULTUREL ABERDEEN INC.,Moncton | Moncton,E1C 4X5,2018-11-15,22162
org_city_postal,org=VICTORIA FOUNDATION (THE)|city=Victoria | Victoria|postal=V8W 1E2,36,168868,016-2018-2019-Q4-1323219,VICTORIA FOUNDATION (THE),Victoria | Victoria,V8W 1E2,2018-12-03,604
org_city_postal,org=Greater Fredericton Community Economic Development Agency Inc.|Greater Fredericton Community Economic Development Agency Inc.|city=Fredericton|Fredericton|postal=E3C 0J1,35,18145,276-2018-2019-Q2-00378,Greater Fredericton Community Economic Development Agency Inc.|Greater Fredericton Community Economic Development Agency Inc.,Fredericton|Fredericton,E3C 0J1,2018-07-13,155195
org_city_postal,org=Nova Scotia Business Incorporated|Nova Scotia Business Incorporated|city=Halifax|Halifax|postal=B3J 3E4,35,18669,276-2019-2020-Q2-00143,Nova Scotia Business Incorporated|Nova Scotia Business Incorporated,Halifax|Halifax,B3J 3E4,2019-08-02,339997
org_city_postal,org=LearnSphere Canada Inc.|LearnSphere Canada Inc.|city=Fredericton|Fredericton|postal=E3B 5X8,35,18862,276-2019-2020-Q2-00310,LearnSphere Canada Inc.|LearnSphere Canada Inc.,Fredericton|Fredericton,E3B 5X8,2019-09-05,260700
org_city_postal,org=Cape Breton Business Partnership Inc.|Cape Breton Business Partnership Inc.|city=Sydney|Sydney|postal=B1P 1C6,35,20733,276-2006-2007-Q4-00364,Cape Breton Business Partnership Inc.|Cape Breton Business Partnership Inc.,Sydney|Sydney,B1P 1C6,2007-03-28,64620
org_city_postal,org=CROSS COUNTRY SKI DE FOND CANADA|city=Canmore | Canmore|postal=T1W 2T6,35,118773,016-2018-2019-Q3-1315589.1,CROSS COUNTRY SKI DE FOND CANADA,Canmore | Canmore,T1W 2T6,2018-04-01,834750
org_city_postal,org=GLACIER FARMMEDIA LIMITED PARTNERSHIP|city=Winnipeg | Winnipeg|postal=R3C 3K7,35,120174,016-2018-2019-Q1-1319005,GLACIER FARMMEDIA LIMITED PARTNERSHIP,Winnipeg | Winnipeg,R3C 3K7,2018-04-01,235731
org_city_postal,org=TOMBOLO MULTICULTURAL FESTIVAL NEWFOUNDLAND AND LABRADOR INC.|city=St. John's | St. John's|postal=A1B 1Z7,35,120310,016-2018-2019-Q1-1318326,TOMBOLO MULTICULTURAL FESTIVAL NEWFOUNDLAND AND LABRADOR INC.,St. John's | St. John's,A1B 1Z7,2018-04-01,15000
org_city_postal,org=MÉDIALO INC.|city=Saint-Hubert | Saint-Hubert|postal=J3Z 0C8,35,173514,016-2022-2023-Q4-1357582,MÉDIALO INC.,Saint-Hubert | Saint-Hubert,J3Z 0C8,2022-04-01,27853
org_city_postal,org=Atlantic Film Festival Association|Atlantic Film Festival Association|city=Halifax|Halifax|postal=B3J 3S9,34,18541,276-2019-2020-Q2-00021,Atlantic Film Festival Association|Atlantic Film Festival Association,Halifax|Halifax,B3J 3S9,2019-07-04,335000
org_city_postal,org=Coastal Business Opportunities Incorporated|Coastal Business Opportunities Incorporated|city=Sydney|Sydney|postal=B1P 1C7,34,20337,276-2006-2007-Q3-00318,Coastal Business Opportunities Incorporated|Coastal Business Opportunities Incorporated,Sydney|Sydney,B1P 1C7,2006-11-23,225000
org_city_postal,org=TRIATHLON CANADA|city=Victoria | Victoria|postal=V8T 4J2,34,118839,016-2018-2019-Q1-1315579.1,TRIATHLON CANADA,Victoria | Victoria,V8T 4J2,2018-04-01,294367
org_city_postal,org=CANADIAN OLYMPIC COMMITTEE|city=Toronto | Toronto|postal=M5B 2L7,34,118934,016-2018-2019-Q1-1316060,CANADIAN OLYMPIC COMMITTEE,Toronto | Toronto,M5B 2L7,2017-04-01,337921
org_city_postal,org=LATINCOUVER CULTURAL & BUSINESS SOCIETY|city=Vancouver | Vancouver|postal=V6B 1A4,34,120278,016-2018-2019-Q1-1318114,LATINCOUVER CULTURAL & BUSINESS SOCIETY,Vancouver | Vancouver,V6B 1A4,2018-04-15,4450
org_city_postal,org=NEWCOM MEDIA INC.|city=Toronto | Toronto|postal=M9B 6H8,34,134709,016-2020-2021-Q1-1331434.1,NEWCOM MEDIA INC.,Toronto | Toronto,M9B 6H8,2020-04-01,29742
org_city_postal,org=New Brunswick Association of Community Business Development Corporations Inc.|New Brunswick Association of Community Business Development Corporations Inc.|city=Bathurst|Bathurst|postal=E2A 1A4,33,18196,276-2010-2011-Q1-00214,New Brunswick Association of Community Business Development Corporations Inc.|New Brunswick Association of Community Business Development Corporations Inc.,Bathurst|Bathurst,E2A 1A4,2010-05-17,31955
org_city_postal,org=Saint Mary's University|Saint Mary's University|city=Halifax|Halifax|postal=B3H 3C3,33,18222,276-2011-2012-Q4-00212,Saint Mary's University|Saint Mary's University,Halifax|Halifax,B3H 3C3,2012-01-31,61073
org_city_postal,org=Saint Mary's University Business Development Centre|Saint Mary's University Business Development Centre|city=Halifax|Halifax|postal=B3J 1Z3,33,19487,276-2006-2007-Q1-00197,Saint Mary's University Business Development Centre|Saint Mary's University Business Development Centre,Halifax|Halifax,B3J 1Z3,2006-06-12,300434
org_city_postal,org=DIVING PLONGEON CANADA|city=Ottawa | Ottawa|postal=K1G 0Y9,33,118895,016-2018-2019-Q1-1315565.1,DIVING PLONGEON CANADA,Ottawa | Ottawa,K1G 0Y9,2018-04-01,2152000
org_city_postal,org=SWIMMING / NATATION CANADA|city=Ottawa | Ottawa|postal=K2P 0P7,33,118908,016-2018-2019-Q1-1315576.1,SWIMMING / NATATION CANADA,Ottawa | Ottawa,K2P 0P7,2018-04-01,4764364
org_city_postal,org=ALDERNEY LANDING ASSOCIATION|city=Dartmouth | Dartmouth|postal=B2Y 3Z3,33,119258,016-2018-2019-Q1-1318449,ALDERNEY LANDING ASSOCIATION,Dartmouth | Dartmouth,B2Y 3Z3,2018-10-04,28600
